e,b,B,a,A,ts_recv,sym,p,q
bookTicker,1999.5,0.01,2000.5,0.01,0,ETHUSDT,,
aggTrade,,,,,0,ETHUSDT,2000.0,0.001
bookTicker,1999.4872365476451,0.01,2000.4872365476451,0.01,1,ETHUSDT,,
aggTrade,,,,,1,ETHUSDT,1999.9872365476451,0.001
bookTicker,1999.1941965076446,0.01,2000.1941965076446,0.01,2,ETHUSDT,,
aggTrade,,,,,2,ETHUSDT,1999.6941965076446,0.001
bookTicker,1999.8769609277188,0.01,2000.8769609277188,0.01,3,ETHUSDT,,
aggTrade,,,,,3,ETHUSDT,2000.3769609277188,0.001
bookTicker,1999.4118817145875,0.01,2000.4118817145875,0.01,4,ETHUSDT,,
aggTrade,,,,,4,ETHUSDT,1999.9118817145875,0.001
bookTicker,1999.6331158399064,0.01,2000.6331158399064,0.01,5,ETHUSDT,,
aggTrade,,,,,5,ETHUSDT,2000.1331158399064,0.001
bookTicker,1999.5459452729176,0.01,2000.5459452729176,0.01,6,ETHUSDT,,
aggTrade,,,,,6,ETHUSDT,2000.0459452729176,0.001
bookTicker,1999.6792567576097,0.01,2000.6792567576097,0.01,7,ETHUSDT,,
aggTrade,,,,,7,ETHUSDT,2000.1792567576097,0.001
bookTicker,1999.570329606743,0.01,2000.570329606743,0.01,8,ETHUSDT,,
aggTrade,,,,,8,ETHUSDT,2000.070329606743,0.001
bookTicker,1999.6492383943937,0.01,2000.6492383943937,0.01,9,ETHUSDT,,
aggTrade,,,,,9,ETHUSDT,2000.1492383943937,0.001
bookTicker,1999.2475621560395,0.01,2000.2475621560395,0.01,10,ETHUSDT,,
aggTrade,,,,,10,ETHUSDT,1999.7475621560395,0.001
bookTicker,1999.1624841897906,0.01,2000.1624841897906,0.01,11,ETHUSDT,,
aggTrade,,,,,11,ETHUSDT,1999.6624841897906,0.001
bookTicker,1998.764325286186,0.01,1999.764325286186,0.01,12,ETHUSDT,,
aggTrade,,,,,12,ETHUSDT,1999.264325286186,0.001
bookTicker,1998.80457798249,0.01,1999.80457798249,0.01,13,ETHUSDT,,
aggTrade,,,,,13,ETHUSDT,1999.30457798249,0.001
bookTicker,1998.7490104059418,0.01,1999.7490104059418,0.01,14,ETHUSDT,,
aggTrade,,,,,14,ETHUSDT,1999.2490104059418,0.001
bookTicker,1999.3878636316438,0.01,2000.3878636316438,0.01,15,ETHUSDT,,
aggTrade,,,,,15,ETHUSDT,1999.8878636316438,0.001
bookTicker,1999.8752909820719,0.01,2000.8752909820719,0.01,16,ETHUSDT,,
aggTrade,,,,,16,ETHUSDT,2000.3752909820719,0.001
bookTicker,2000.8332779926805,0.01,2001.8332779926805,0.01,17,ETHUSDT,,
aggTrade,,,,,17,ETHUSDT,2001.3332779926805,0.001
bookTicker,2001.2799820652901,0.01,2002.2799820652901,0.01,18,ETHUSDT,,
aggTrade,,,,,18,ETHUSDT,2001.7799820652901,0.001
bookTicker,2001.4823907394743,0.01,2002.4823907394743,0.01,19,ETHUSDT,,
aggTrade,,,,,19,ETHUSDT,2001.9823907394743,0.001
bookTicker,2001.7964134604704,0.01,2002.7964134604704,0.01,20,ETHUSDT,,
aggTrade,,,,,20,ETHUSDT,2002.2964134604704,0.001
bookTicker,2002.133033252473,0.01,2003.133033252473,0.01,21,ETHUSDT,,
aggTrade,,,,,21,ETHUSDT,2002.633033252473,0.001
bookTicker,2002.7047994918478,0.01,2003.7047994918478,0.01,22,ETHUSDT,,
aggTrade,,,,,22,ETHUSDT,2003.2047994918478,0.001
bookTicker,2002.5658030337918,0.01,2003.5658030337918,0.01,23,ETHUSDT,,
aggTrade,,,,,23,ETHUSDT,2003.0658030337918,0.001
bookTicker,2002.6055057778453,0.01,2003.6055057778453,0.01,24,ETHUSDT,,
aggTrade,,,,,24,ETHUSDT,2003.1055057778453,0.001
bookTicker,2002.347189225776,0.01,2003.347189225776,0.01,25,ETHUSDT,,
aggTrade,,,,,25,ETHUSDT,2002.847189225776,0.001
bookTicker,2002.0580701706922,0.01,2003.0580701706922,0.01,26,ETHUSDT,,
aggTrade,,,,,26,ETHUSDT,2002.5580701706922,0.001
bookTicker,2002.602837342304,0.01,2003.602837342304,0.01,27,ETHUSDT,,
aggTrade,,,,,27,ETHUSDT,2003.102837342304,0.001
bookTicker,2002.4007535620638,0.01,2003.4007535620638,0.01,28,ETHUSDT,,
aggTrade,,,,,28,ETHUSDT,2002.9007535620638,0.001
bookTicker,2002.427436363508,0.01,2003.427436363508,0.01,29,ETHUSDT,,
aggTrade,,,,,29,ETHUSDT,2002.927436363508,0.001
bookTicker,2002.6446348127579,0.01,2003.6446348127579,0.01,30,ETHUSDT,,
aggTrade,,,,,30,ETHUSDT,2003.1446348127579,0.001
bookTicker,2002.6662085237497,0.01,2003.6662085237497,0.01,31,ETHUSDT,,
aggTrade,,,,,31,ETHUSDT,2003.1662085237497,0.001
bookTicker,2002.0940647874847,0.01,2003.0940647874847,0.01,32,ETHUSDT,,
aggTrade,,,,,32,ETHUSDT,2002.5940647874847,0.001
bookTicker,2002.4028054784037,0.01,2003.4028054784037,0.01,33,ETHUSDT,,
